"","perl_best_thing","perl_frustrates_most","describe_perl"
"1601","Usually installed by default on unix systems, and less painful than shell scripting.","Programs written by two different developers often seem to be written in two different languages, making maintenance and reuse difficult. There are so many ways of doing things that if you are away from the language for even a short time, it becomes even more difficult to figure out existing code.","A horse and buggy in the age of bullet trains"
"1602","","",""
"1603","Ease","OOP","Quickly get it done"
"1604","Easy to learn and not complicated syntaxes","","Perl is a great programming language"
"1605","","",""
"1606","","",""
"1607","","",""
"1608","","",""
"1609","","",""
"1610","","",""
"1611","The reading and parsing of text files","Arguments to a function are implicit","Easy text file parsing"
"1612","It fits with my brain","Other people don't understand it well","It fits with my brain"
"1613","cpan","complexity fo OO vs others like ruby or python","quick"
"1614","concise and minimalistic","Object Orienting","system programming data nalysis web"
"1615","concise, expressive syntax","cpan can be hell - searching for modules is overly complex.  I shouldn't have to hit search.cpan.org to find the magic incantation needed to install the module I need.  If I knew more about cpan I probably wouldn't have this issue.","Kitchen sink?  It's in there."
"1616","","",""
"1617","Rapid development","There are a billion ways to write the same thing",""
"1618","very expressive for sed/awk/grep type of operations, plus associative arrays","There's More Than Eight Ways To Do It, and most of them are unreadable","expressive tool for dirty hacks"
"1619","","",""
"1620","Its flexibility.","Its reputation for being messy. ",""
"1621","Outstanding flexibility and linguistic appearance ","Lack of or badly implemented syntax modifiers (like Devel::Declare).","The best ever language!"
"1622","","",""
"1623","it's available out of the box on almost every *nix OS","the million and one ways to do the same thing","hocus pocus black crazy powerful"
"1624","","",""
"1625","","",""
"1626","Whatever you can do with LISP you can do with Perl.[CR]Perl is scripting language.[CR][CR]CPAN is the blessings to Perl","NONE","Grab Solution from CPAN"
"1627","","",""
"1628","","",""
"1629","","",""
"1630","CPAN, syntax, flexibility","public perception, out-of-date/abandoned CPAN modules",""
"1631","perl","incosistency",""
"1632","","",""
"1633","Nothing!","I don't like Perl that much.","ugly"
"1634","","",""
"1635","CPAN[CR]Community[CR]Highly Intelligent Community Leaders[CR]Flexibility / TIMTOWDI - this is both a strength and a weakness","TIMTOWDI is somewhat detremental (e.g vs. Python)[CR]Lack of in-language OO support (though Moose solves this in a way).[CR]Lack of trained (local) developers (i.e. new/young blood) => leads to stagnant (local) community[CR]Lack of evangelism[CR]","Right tool for (almost) every job: swissarmy knife"
"1636","fast, great cpan modules, regex handling.","complex, without moose oo coding is repetitive.","fast, versatile, mature"
"1637","","",""
"1638","","",""
"1639","","multi-threading is not easy to do in perl.",""
"1640","","",""
"1641","The CPAN","that for some tasks (OO programming, logging, event-oriented programming, exceptions, etc.) there is no single most recommended Way To Do It. (But we seem to be getting there...)",""
"1642","Rapid prototyping and CPAN","",""
"1643","CPAN and good support in Debian and Ubuntu.","modules from CPAN that will not easily install to DESTDIR in a common way.","effective versatile alive underspecified"
"1644","Natural language feel","Perl 6",""
"1645","it just feels so malleable and workable, to me.","everyone doesn't seem to get it and, for some reason, it seems to have not as stellar a reputation as I think it should.","perl is nonrestrictive."
"1646","transparent implementation of namespaces","missing refactoring tools, only perl can parse perl","accomodating"
"1647","its ease of use for creating any programs needed for manipulating files or text data.","a lot of people have the misconception that it is a write-only language (although obviously that's not perl's fault, just a stigma it seems to have)","expressive, lightweight"
"1648","","",""
"1649","","",""
"1650","Its evolution - Perl6!","The dependencies in CPAN modules, especially with outdated distributions like CentOS.","Fine dwim regex text"
"1651","DWIM","Snobby communities, elitism","Just gets the job done"
"1652","","",""
"1653","Amazing community","","powerful scalable stable"
"1654","The second age of perl: Moose, Plack, Dist::Zilla, etc.","There isn't enough focus on convincing people to write apps in Perl. It seems all about writing modules for CPAN. I think there needs to be more downloadable apps, more web based apps, etc. Either that, or they need to be touted more.","everything i need"
"1655","","",""
"1656","","",""
"1657","I don't have to force myself to think a certain way to use perl. Not only is there more than one way to do things. You can start with a small part of perl and discover cleverer and more advanced features of the language when you need to.","Objects/Classes","dear old friend that I wish I spent more time with"
"1658","Programming freedom, universal purpose. Quick and easy to use due to the interpreter (no ""omg, my 64bit windows binary does not run on this 32bit linux""). Very handy for ""Wait a sec, let me just try this out"" - i.e. via perl -e.","Multithread performance, code very hard to ready (""Uh what did I do here yesterday?""), code efficiency (why do I need xs for high peformance?). We pretty much think about shifing to java ...","nerd, quick, free, old, slow"
"1659","CPAN","Poor design of developer facing websites.  It contributes to the view of perl as behind the times.","fast flexible powerful"
"1660","","",""
"1661","","",""
"1662","the community.","the low hype factor.","is fun and gets stuff done."
"1663","TMTOWTDI","TMTOWTDI",""
"1664","CPAN","",""
"1665","","",""
"1666","How fast it is... both in terms of development and application speed","How everything is a module that I have to install/maintain. Certain unique applications should be modules, but ""core"" features should be built in. [CR][CR]Date manipulation[CR]Security hashes (MD5, SHA1)[CR]Working with lists[CR]Data::Dumper... NOT CORE!?![CR][CR]etc","fast awesome powerful modular"
"1667","text processing and CPAN modules","confused OOP","laconism, regexps, flexibility"
"1668","How concise it can be.","I've never felt frustrated from using Perl.","fast to code with, beautiful flexible"
"1669","","",""
"1670","","",""
"1671","It's clever and makes you work alot less to get a lot more","Some modules are not documented well enough","smart, fast, efficient, versatile, fun"
